0
ID=1     : size=30        : 2015-10-17 <*> INFO [main] org.apache.hadoop.mapreduce.v2.app.MRAppMaster: <*> <*> <*> <*> <*>
ID=2     : size=42        : 2015-10-17 <*> INFO [main] org.apache.hadoop.mapreduce.v2.app.MRAppMaster: <*> <*> <*>
"ID=3     : size=15        : 2015-10-17 15:37:56,900 INFO [main] org.apache.hadoop.mapreduce.v2.app.MRAppMaster: Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 11 cluster_timestamp: 1445062781478 } attemptId: 1 } keyId: 471522253)"
ID=4     : size=93        : 2015-10-17 <*> INFO [main] org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class <*> for class <*>
ID=5     : size=40        : 2015-10-17 <*> INFO [main] <*> <*> <*> system <*>
"ID=6     : size=10        : 2015-10-17 15:37:58,024 INFO [main] org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler: Emitting job history data to the timeline server is not enabled"
"ID=7     : size=10        : 2015-10-17 15:37:58,359 INFO [main] org.apache.hadoop.metrics2.impl.MetricsConfig: loaded properties from hadoop-metrics2.properties"
"ID=8     : size=10        : 2015-10-17 15:37:58,405 INFO [main] org.apache.hadoop.metrics2.impl.MetricsSystemImpl: Scheduled snapshot period at 10 second(s)."
"ID=9     : size=10        : 2015-10-17 15:37:58,412 INFO [main] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: Adding job token for job_1445062781478_0011 to jobTokenSecretManager"
"ID=10    : size=10        : 2015-10-17 15:37:58,550 INFO [main] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: Not uberizing job_1445062781478_0011 because: not enabled; too many maps; too much input;"
"ID=11    : size=10        : 2015-10-17 15:37:58,568 INFO [main] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: Input size for job job_1445062781478_0011 = 1256521728. Number of splits = 10"
"ID=12    : size=10        : 2015-10-17 15:37:58,569 INFO [main] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: Number of reduces for job job_1445062781478_0011 = 1"
"ID=13    : size=10        : 2015-10-17 15:37:58,569 INFO [main] org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: job_1445062781478_0011Job Transitioned from NEW to INITED"
